,movie,star,comment
0,牯岭街少年杀人事件,4,近四个小时的长片，我一直不入戏，张震也青涩得让我无感，直到Honey的出现，我才静了下来。这个小混混里的前老大，竟然穿着海军服，又帅又温和，席地而坐说起他看过的最厚的一本武侠书，叫《战争与和平》，英雄主义浪漫至极致的悲壮。
1,牯岭街少年杀人事件,5,很多电影里都会杀人。只有在杨德昌的电影里，那不是杀人，那是整个世界的崩毁。他要你眼睁睁的看着，他用两个多小时创造的世界，在少年捅下去的那一刀里，灰飞烟灭。
2,牯岭街少年杀人事件,5,海那边六十年代的生活跟海这边八、九十年代差不太多，但tmd海南边的学生凭什么人手一双converse？凭tm什么？
3,牯岭街少年杀人事件,5,弱者送给弱者的一刀
4,牯岭街少年杀人事件,5,四小时冒油。五十年代台北群像。十四岁的张震。发力的杨德昌。成长编年史。黑暗中闪光。再回首，青春的轨迹依然明晰到深深嵌入地表，但那种鲜明和深刻是根本由不得人再走一遍。每一个时代都有各自的悲哀和伟大，卑微的人弯着脊背，聆听风雷，勇敢而纯洁的人拿身体和理想叩问苍天，从内部上升或陨落。
5,牯岭街少年杀人事件,5,威权压制平民，富人压制穷人，年长压制年幼，男人压制女人。被压制者又将对无可奈何自我的愤怒投射、发泄到食物链的更下端。坦克轰隆隆碾过，夏天要结束了，身后留下少男少女的尸体。200118 重看 @Metrograph.
6,牯岭街少年杀人事件,4,那一霎那我什么也没做，只是捅了你一刀。“原来你跟他们一样，对我好就是想改变我。你好可笑啊，你以为你是谁啊？我和这个世界一样是不可改变的…”
7,牯岭街少年杀人事件,4,外国人一定觉得中国人长得都差不多。
8,牯岭街少年杀人事件,5,杨德昌最好的作品，长镜与叙事完美相结合的力作。
9,牯岭街少年杀人事件,4,我怎么都不会想到杀的人是她
10,牯岭街少年杀人事件,5,哈尼在国歌中缓缓穿过僵硬不动的人群，让人感到这是一个氛围诡异的政治时代寓言。黑帮冲突下是本土与外省的尖锐对立，面对“不要脸”的权力存在他只身求死成为本土命运的先知，无奈彼时无人理解他的行为，只有小四在环境的钳制下逐渐堕入没有出路的深渊。杨德昌超越自己水平的发挥。
11,牯岭街少年杀人事件,5,张震小时候好萌...小明同学你好丑
12,牯岭街少年杀人事件,5,我在台南，无聊的要命，每天可以看几十本武侠小说。后来，我叫他们去帮我租最厚的小说来看。其实以前的人，跟我们现在出来混的人，真的很像。《战争与和平》，其他的武侠书名都不记得了，只记得这一本。妈的，我还真想写本小说咧，干，给以后像我这种人看。太晚了，书又读的不够多。
13,牯岭街少年杀人事件,5,从那一刻起，我爱上所有类似张震的男子。
14,牯岭街少年杀人事件,5,【A+】杨德昌把这个世界看得太透了，透的可怕。
15,牯岭街少年杀人事件,4,如果小四最后听从姐姐而去了教堂，也许结局不是那么悲怆……
16,牯岭街少年杀人事件,5,太讲究了，红楼梦式的电影，巨细无遗，每一个人每一个细节都照顾到了，真是天才
17,牯岭街少年杀人事件,5,二刷。无比悲怆与残酷的青春，无比悲怆与残酷的时代。华语十佳《花样年华》、《颐和园》、《牯岭街少年杀人事件》、《悲情城市》、《一一》、《海上花》、《春光乍泄》、《春风沉醉的夜晚》、《霸王别姬》、《爱情万岁》里，前4部超五星。
18,牯岭街少年杀人事件,5,可能是影史最佳coming-of-age电影。成长中变与不变的巨大张力被拉扯到了极致，最终的爆炸是无可挽回的宿命。悲剧史诗。人生之最深刻苦闷莫过于此。
19,牯岭街少年杀人事件,5,片子长 长到以为杀人的是自己 被捅的也是自己
20,牯岭街少年杀人事件,5,釜山修复重看。关于权利与欲望，人物线索庞而不杂，将个人经验扩张为国族寓言。夜景昏灯构成疏离冷静的批判性隐喻，废除父权、互信共治成为时代呼喊。一部根据真实事件改编的集杨德昌大成之作，将镜头对准人人都是恐怖分子的黑暗60年代，以及数以百万的大陆反共移民和在美国文化支配下垮掉的一代人。
